id_ingrediente,ingrediente
715,cerca farinha trigo
716,fino
717,file tilapia
718,shoyo
719,colorifico
720,creme avela
721,marinho
722,ameixas preta
723,americanos farinha trigo
724,tomates vermelho
725,presunto magro
726,leite condensado minuto
727,ovo ovo ovo
728,acucar adocante
729,farinha trigo especial
730,acucar confeiteiro polvilhar
731,alho amassadinho
732,mesma acucar
733,maca cortada
734,vontade
735,paes france
736,iogurte morango
737,bananas caturra
738,creme queijo
739,repolho roxo
740,molho shoyo
741,pudim chocolate
742,talo salsao
743,leite agua
744,cebolas fatiada
745,leite soja
746,coxas sobrecoxa
747,tomates seco
748,mussarela bufala
749,cravo india
750,sobremesa essencia baunilha
751,avela
752,leite fervido
753,brigadeiro
754,pimentas dedo moca
755,suco uva
756,pernil
757,macarrao lasanha
758,batatas doce
759,bananas dagua
760,farinha milho amarela
761,caldo galinha po
762,adocante po
763,chimichurri
764,azeitonas fatiada
765,moido
766,sobremesa amido milho
767,pao amanhecido
768,gelatinas abacaxi
769,frango defumado
770,arroz pronto
771,glucose milho
772,leite gado
773,presunto apresuntado
774,agua leite
775,massa folhada
776,carne bovina
777,ovo temperatura ambiente
778,chocolate bi
779,farinha trigo enrolar
780,camarao seco
781,coxa sobrecoxa frango
782,pimenta moida
783,lavado
784,fuba mimoso
785,toucinho defumado
786,chocolate leite derretido
787,coentro salsa
788,tomates fina
789,achocolatado chocolate po
790,sumo limao
791,jilo
792,sardinha oleo
793,mesma oleo
794,cafe baunilha
795,sobremesa oregano
796,cebolinha coentro
797,limao siciliano
798,maminha
799,cerejas calda
800,ovo cru
801,caldo peixe
802,alho fatiado
803,oregano polvilhar
804,sazon legume
805,leite condensado mococa
806,azeite fritar
807,sazon salada
808,seleta
809,barras chocolate leite
810,coentro salsinha
811,pimenta preta
812,banha porco
813,sazon nordeste
814,pepino conserva
815,acucar branco
816,bolacha maria chocolate
817,liga neutra
818,ervilha conserva
819,peitos frango osso
820,cenouras crua
821,sobremesa canela po
822,bolacha leite
823,peca picanha
824,caldo laranja
825,agua coco
826,oleo cozinha
827,peito frango desossado
828,requeijao agua
829,claybom
